id,Republican_clickbaittag,Democrat_clickbaittag
lead_in1,Democrats will hate this,Republicans will hate this
lead_in2,What the liberal media hides,What the conservative media hides
lead_in3,The truth the left fears,The truth the right fears
lead_in4,What Biden and elites kept quiet,What Trump and elites kept quiet
lead_in5,What Democrat states hide,What Republican states hide
lead_in6,Biden allies wont mention,Trump allies wont mention
lead_in7,The left's worst nightmare,The right's worst nightmare
lead_in8,Woke rhetoric crumbles,MAGA rhetoric crumbles
lead_in9,Democrat-state secrets,Republican-state secrets
lead_in10,Liberal agenda exposed,Conservative agenda exposed