item,claimtext,veracity
claim01,A Small Group of People Control the World Economy by Manipulating the Price of Gold and Oil,Misinformation
claim02,A Study Found That the Mainstream Media Is Lying about the Cause of Lyme Disease,Misinformation
claim03,African Nations Are Expected to Hand Over Control of Their Resources to Western Investors Within a Decade,Misinformation
claim04,Breaking News: Australia Is the Only Country That Lets Pedophiles Off the Hook,Misinformation
claim05,Breaking News: Scientists Found a Link Between Climate Change and Tooth Decay,Misinformation
claim06,Certain Vaccines Are Loaded with Dangerous Chemicals and Toxins,Misinformation
claim07,Doctors Are Paid to Promote All Kinds of Ridiculous Harmful and Dangerous Treatments,Misinformation
claim08,Ebola Virus 'Caused by US Nuclear Weapons Testing' New Study Says,Misinformation
claim09,Google Has Made It Illegal to Film Police Officers in the US,Misinformation
claim10,Government Officials Have Illegally Manipulated the Weather to Cause Devastating Storms,Misinformation
claim11,Government Officials Have Manipulated Stock Prices to Hide Scandals,Misinformation
claim12,New Data Show Shark Fins Are the 'Most Important Source of Protein' for the World's Poor,Misinformation
claim13,New Study: Americans Are the Most Religious People on Earth,Misinformation
claim14,New Study: Clear Relationship Between Eye Color and Intelligence,Misinformation
claim15,Scientists Are Working to Genetically Engineer Food to Produce a Toxin That Will Give It Aphrodisiac Qualities,Misinformation
claim16,Scientists at Harvard Are Now Talking about the Possibility of the Moon Landing Being Faked,Misinformation
claim17,Scientists Find 'Genetic Basis' for Right-Wing Extremist Views,Misinformation
claim18,"Sudden Infant Death Syndrome (SIDS) Is Now a ""Scientific"" Epidemic and the Media and Medical Community Has Been Covering It up for Decades",Misinformation
claim19,The Corporate Media Is Controlled by the Military-industrial Complex: The Major Oil Companies Own the Media and Control Their Agenda,Misinformation
claim20,The Drug Companies Have Been Controlling the Political Arena for Over a Hundred Years,Misinformation
claim21,The Government Has Secret Information on Every Citizen Including Their Financial and Medical Information,Misinformation
claim22,The Government Is Actively Destroying Evidence Related to the JFK Assassination,Misinformation
claim23,The Government Is Conducting a Massive Cover-Up of Their Involvement in 9/11,Misinformation
claim24,The Government Is Knowingly Spreading Disease Through the Airwaves and Food Supply,Misinformation
claim25,The Government Is Manipulating the Public's Perception of Genetic Engineering in Order to Make People More Accepting of Such Techniques,Misinformation
claim26,"The Government Is Secretly Stockpiling Food and Other Goods in Case of a ""Hard-Currency Collapse""",Misinformation
claim27,The Mainstream Media Is Misinforming about Vaccinations: Vaccines Cause Autism Vaccines Are Unsafe and Dangerous,Misinformation
claim28,The More You Learn About the Moon Landing the More You Realize That It Was Faked,Misinformation
claim29,"The So-Called ""Overdose"" Epidemic Is a Myth and Those Who Believe It Are ""Nutritional Extremists""",Misinformation
claim30,UFO Sightings Are Actually the Result of Secret Military Experiments,Misinformation
claim31,UK Will Have to Spend up to £23bn on Military in Response to Right-Wing Extremism,Misinformation
claim32,UN Report: Worldwide Rise of Infant Mortality Due to Modern Medicine,Misinformation
claim33,UN: More than 50% of the World's Population Will Face Famine by 2070,Misinformation
claim34,UN: New Report Shows Shark Fin Soup as 'the Most Important Source of Protein' for World's Poor,Misinformation
claim35,US Is the Most Dangerous Place on Earth for Women,Misinformation
claim36,64% of Americans Want Stricter Laws on Gun Sales,Accurate
claim37,83% Say Measles Vaccine Is Safe for Healthy Children - No Partisan Differences in Views of Vaccine Safety,Accurate
claim38,About a Quarter of Large US Newspapers Laid off Staff in 2018,Accurate
claim39,Americans Feel Generally Positive about Their Own Finances,Accurate
claim40,Americans Have Positive Views about Religion’s Role in Society But Want It out of Politics,Accurate
claim41,Attitudes Toward EU Are Largely Positive Both Within Europe and Outside It,Accurate
claim42,Blue Light Isn’t the Main Source of Eye Fatigue and Sleep Loss - It’s Your Computer,Accurate
claim43,Data Show Upswing in Child Exploitation Cases,Accurate
claim44,East Germany Has Narrowed Economic Gap with West Germany Since Fall of Communism But Still Lags,Accurate
claim45,Experts Optimistic About the Next 50 Years of Digital Life,Accurate
claim46,Four in 10 Teachers Say Their School Is Not Well Protected,Accurate
claim47,Germany Welcomes Tesla's Berlin Move as Boost to E-Car Shift,Accurate
claim48,Global Warming Age Gap: Younger Americans Most Worried,Accurate
claim49,Hawaii May Subpoena Airbnb for Tax Records of Rental Hosts,Accurate
claim50,Hyatt Will Remove Small Bottles from Hotel Bathrooms by 2021,Accurate
claim51,In Emerging Economies Smartphone and Social Media Users Have Broader Social Networks,Accurate
claim52,In US 54% Say Teachers Unprepared to Handle Discipline,Accurate
claim53,In US 71% Support Transgender People Serving in Military,Accurate
claim54,In Western European Countries with Church Taxes Support for the Tradition Remains Strong,Accurate
claim55,International Relations Experts and US Public Agree: America Is Less Respected Globally,Accurate
claim56,Is US Fertility at An All-time Low? Two of Three Measures Point to Yes,Accurate
claim57,Japan's Ageing 'Hidden Christians' Fear They May Be Their Religion's Last Generation,Accurate
claim58,Latinos Are More Likely to Believe in the American Dream But Most Say It Is Hard to Achieve,Accurate
claim59,Leaked Russian Interference Report Raises UK Vote Questions,Accurate
claim60,Majority in US Still Want Abortion Legal with Limits,Accurate
claim61,Minnesota School District May Monitor Students’ Online Posts,Accurate
claim62,More People Around the World See US Power and Influence as a ‘Major Threat’ to Their Country,Accurate
claim63,Morocco’s King Appoints Committee Chief to Fight Poverty and Inequality,Accurate
claim64,Most Americans Say It’s OK for Professional Athletes to Speak out Publicly about Politics,Accurate
claim65,Most Americans Say Science Has Brought Benefits to Society and Expect More to Come,Accurate
claim66,Most Distant World Ever Explored Gets New Name: Arrokoth,Accurate
claim67,National Politics on Twitter: Small Share of US Adults Produce Majority of Tweets,Accurate
claim68,Nearly Half in US Fear Being the Victim of a Mass Shooting,Accurate
claim69,Nearly Six-in-Ten Americans Say Abortion Should Be Legal in All or Most Cases,Accurate
claim70,Norway's Oil Decline Accelerates,Accurate
claim71,Obama Tops Public’s List of Best President in Their Lifetime Followed by Clinton Reagan,Accurate
claim72,One-in-Three Worldwide Lack Confidence in NGOs,Accurate
claim73,One-in-Five Americans Now Listen to Audiobooks,Accurate
claim74,One-in-Five US Newsroom Employees Live in New York Los Angeles or DC,Accurate
claim75,Online Grocery Shopping Still Rare in US,Accurate
claim76,Political Typology Reveals Deep Fissures on the Right and Left,Accurate
claim77,Reflecting a Demographic Shift 109 US Counties Have Become Majority Nonwhite Since 2000,Accurate
claim78,Since Trump’s Election Increased Attention to Politics – Especially Among Women,Accurate
claim79,Students at Smaller Colleges More Likely to Say Faculty Care,Accurate
claim80,Taiwan Seeks to Join Fight Against Global Warming,Accurate
claim81,Two in Three Americans Now Support Legalizing Marijuana,Accurate
claim82,United Nations Gets Mostly Positive Marks from People Around the World,Accurate
claim83,Universal Basic Income Favored in Canada UK But Not in US,Accurate
claim84,US Hispanic Population Reached New High in 2018 But Growth Has Slowed,Accurate
claim85,US Panel Backs Wider Use of Fish Oil to Prevent Heart Attack,Accurate
claim86,US Safety Board Wants Boeing to Redesign 737 NG Part after Fatal Southwest Accident,Accurate
claim87,US Support for Legal Marijuana Steady in Past Year,Accurate
claim88,Volkswagen to Invest 60 Billion Euros in E-mobility Digital Tech by 2024,Accurate
